#  

#      WAVELENGTH      THROUGHPUT
#       angstroms                
5080.54 0.2275049579
5081.10 0.2273695389
5081.66 0.2272323114
5082.23 0.2270950925
5082.79 0.2269595671
5083.35 0.2268218960
5083.91 0.2266848161
5084.47 0.2265477956
5085.03 0.2264113670
5085.60 0.2262737425
5086.16 0.2261367099
5086.72 0.2259995464
5087.28 0.2258617187
5087.84 0.2257251565
5088.40 0.2255876952
5088.97 0.2254494230
5089.53 0.2253117947
5090.09 0.2251902146
5090.65 0.2251554573
5091.22 0.2251203297
5091.78 0.2250854372
5092.34 0.2250501504
5092.90 0.2250146527
5093.47 0.2249793393
5094.03 0.2249441079
5094.59 0.2249091935
5095.15 0.2248741263
5095.72 0.2248382247
5096.28 0.2248028079
5096.84 0.2247672098
5097.40 0.2247321480
5097.97 0.2246967139
5098.53 0.2246609948
5099.09 0.2246254017
5099.65 0.2245899422
5100.22 0.2245495504
5100.78 0.2245013538
5101.35 0.2244532954
5101.91 0.2244053164
5102.48 0.2243569758
5103.04 0.2243086190
5103.60 0.2242609373
5104.16 0.2242127984
5104.73 0.2241639155
5105.29 0.2241157443
5105.85 0.2240681381
5106.42 0.2240193021
5106.98 0.2239705092
5107.55 0.2239225087
5108.11 0.2238741018
5108.67 0.2238254596
5109.24 0.2237768371
5109.80 0.2237285809
5110.37 0.2237178317
5110.93 0.2237274106
5111.50 0.2237375602
5112.06 0.2237476984
5112.63 0.2237573031
5113.19 0.2237670683
5113.76 0.2237773006
5114.32 0.2237871824
5114.89 0.2237970254
5115.45 0.2238063947
5116.02 0.2238157879
5116.58 0.2238260477
5117.15 0.2238360170
5117.71 0.2238454959
5118.27 0.2238550401
5118.84 0.2238645206
5119.40 0.2238741893
5119.97 0.2238839422
5120.54 0.2238933522
5121.10 0.2239027318
5121.67 0.2239122830
5122.23 0.2239219350
5122.80 0.2239317233
5123.37 0.2239411164
5123.93 0.2239502790
5124.50 0.2239597696
5125.06 0.2239692131
5125.63 0.2239783133
5126.20 0.2239876541
5126.76 0.2239974189
5127.33 0.2240068318
5127.90 0.2240157787
5128.46 0.2240251496
5129.02 0.2240343861
5129.59 0.2240437853
5130.16 0.2240456580
5130.73 0.2240288469
5131.30 0.2240119742
5131.86 0.2239951447
5132.43 0.2239786465
5133.00 0.2239620780
5133.57 0.2239451161
5134.13 0.2239283112
5134.70 0.2239114358
5135.27 0.2238944462
5135.83 0.2238775524
5136.40 0.2238606673
5136.97 0.2238437898
5137.53 0.2238266761
5138.10 0.2238094571
5138.66 0.2237925790
5139.23 0.2237753760
5139.80 0.2237582255
5140.37 0.2237478954
5140.94 0.2237413438
5141.51 0.2237345059
5142.07 0.2237277137
5142.64 0.2237207998
5143.21 0.2237138012
5143.78 0.2237065068
5144.35 0.2236994414
5144.92 0.2236924994
5145.48 0.2236853765
5146.05 0.2236782559
5146.62 0.2236711965
5147.19 0.2236640960
5147.76 0.2236570848
5148.32 0.2236500666
5148.89 0.2236430414
5149.46 0.2236357202
5150.03 0.2236305121
5150.60 0.2236671090
5151.17 0.2237037615
5151.74 0.2237401560
5152.31 0.2237770500
5152.88 0.2238138694
5153.44 0.2238505420
5154.02 0.2238873475
5154.59 0.2239233068
5155.15 0.2239596014
5155.72 0.2239964774
5156.29 0.2240331631
