#  

#      WAVELENGTH      THROUGHPUT
#       angstroms                
4811.83 0.1372101911
4812.37 0.1376759618
4812.90 0.1381419225
4813.43 0.1386055549
4813.96 0.1390696466
4814.50 0.1395366271
4815.02 0.1399984874
4815.56 0.1404658765
4816.09 0.1409307255
4816.62 0.1413960634
4817.16 0.1418638132
4817.69 0.1423274586
4818.22 0.1427957685
4818.75 0.1432619255
4819.28 0.1437283918
4819.81 0.1441928837
4820.35 0.1446245492
4820.88 0.1450346556
4821.41 0.1454447588
4821.94 0.1458573555
4822.48 0.1462661285
4823.01 0.1466789305
4823.54 0.1470918803
4824.07 0.1475013652
4824.61 0.1479151525
4825.14 0.1483268898
4825.68 0.1487410337
4826.21 0.1491533667
4826.74 0.1495638283
4827.27 0.1499785968
4827.81 0.1503917651
4828.34 0.1508050209
4828.87 0.1512164631
4829.41 0.1516323375
4829.94 0.1520460054
4830.47 0.1524474399
4831.01 0.1528490816
4831.54 0.1532467938
4832.07 0.1536487860
4832.61 0.1540512570
4833.14 0.1544519408
4833.68 0.1548527677
4834.21 0.1552518058
4834.75 0.1556571566
4835.28 0.1560582381
4835.81 0.1564579821
4836.35 0.1568617734
4836.88 0.1572662259
4837.41 0.1576664953
4837.95 0.1580689964
4838.48 0.1584719773
4839.02 0.1588769528
4839.55 0.1592779226
4840.09 0.1596668566
4840.62 0.1599680229
4841.15 0.1602720112
4841.69 0.1605760960
4842.23 0.1608791812
4842.76 0.1611820243
4843.29 0.1614835946
4843.83 0.1617883856
4844.37 0.1620936028
4844.90 0.1623976045
4845.44 0.1627015215
4845.97 0.1630069292
4846.50 0.1633096020
4847.04 0.1636137084
4847.58 0.1639197937
4848.11 0.1642245712
4848.64 0.1645278584
4849.18 0.1648343159
4849.72 0.1651394647
4850.25 0.1654859742
4850.79 0.1658811319
4851.32 0.1662726612
4851.86 0.1666683484
4852.39 0.1670601334
4852.93 0.1674559872
4853.47 0.1678522879
4854.01 0.1682471150
4854.54 0.1686436737
4855.08 0.1690386111
4855.61 0.1694317096
4856.15 0.1698288260
4856.69 0.1702240127
4857.22 0.1706198278
4857.76 0.1710138025
4858.30 0.1714119805
