#  Table f850lp.tab  Fri 14:43:32 04-Sep-2009

#      WAVELENGTH      THROUGHPUT
#       angstroms                

         4120.765     1.307821E-7
         4121.179     1.307245E-7
         4121.593     1.306668E-7
         4122.007     1.306092E-7
         4122.419     1.305516E-7
         4122.833     1.304938E-7
         4123.247     1.304360E-7
         4123.664     1.303779E-7
         4124.078     1.303200E-7
         4124.493     1.302619E-7
         4124.907     1.302039E-7
         4125.321     1.301458E-7
         4125.736     1.300876E-7
          4126.15     1.300295E-7
         4126.565     1.299713E-7
         4126.979     1.299132E-7
         4127.394     1.298550E-7
         4127.809     1.297967E-7
         4128.223     1.297385E-7
         4128.638     1.296802E-7
         4129.053     1.296219E-7
         4129.468     1.295634E-7
         4129.883     1.295048E-7
         4130.297     1.294474E-7
         4130.712     1.293904E-7
          4131.13     1.293329E-7
         4131.545     1.292759E-7
          4131.96     1.292189E-7
         4132.375     1.291617E-7
          4132.79     1.291044E-7
         4133.203     1.290475E-7
         4133.619     1.289902E-7
         4134.034     1.289330E-7
         4134.449     1.288754E-7
         4134.864     1.288179E-7
         4135.282     1.287601E-7
         4135.698     1.287027E-7
         4136.113     1.286451E-7
         4136.529     1.285874E-7
         4136.944     1.285298E-7
          4137.36     1.284722E-7
         4137.775     1.284145E-7
         4138.191     1.283567E-7
         4138.607     1.282988E-7
         4139.023     1.282408E-7
         4139.438     1.281831E-7
         4139.854     1.281253E-7
         4140.271     1.280782E-7
         4140.687     1.280369E-7
         4141.103     1.279955E-7
         4141.519     1.279542E-7
         4141.935     1.279129E-7
         4142.351     1.278714E-7
         4142.769     1.278296E-7
         4143.186     1.277879E-7
         4143.602     1.277462E-7
         4144.018     1.277044E-7
         4144.432     1.276629E-7
         4144.849     1.276211E-7
         4145.265     1.275792E-7
         4145.681     1.275372E-7
           4146.1     1.274950E-7
         4146.517     1.274530E-7
         4146.933     1.274110E-7
          4147.35     1.273688E-7
         4147.767     1.273265E-7
         4148.183     1.272842E-7
           4148.6     1.272418E-7
         4149.017     1.271994E-7
         4149.434     1.271569E-7
         4149.851     1.271144E-7
         4150.268     1.270572E-7
         4150.685     1.269917E-7
         4151.102     1.269262E-7
         4151.519     1.268606E-7
         4151.936     1.267948E-7
         4152.353     1.267292E-7
          4152.77     1.266635E-7
         4153.187     1.265977E-7
         4153.606     1.265314E-7
         4154.024     1.264654E-7
         4154.441     1.263996E-7
         4154.859     1.263338E-7
         4155.274     1.262682E-7
         4155.691     1.262022E-7
         4156.109     1.261362E-7
         4156.526     1.260701E-7
         4156.944     1.260040E-7
         4157.362     1.259379E-7
         4157.782     1.258715E-7
         4158.199     1.258053E-7
         4158.617     1.257389E-7
         4159.035     1.256724E-7
         4159.453     1.256061E-7
         4159.871     1.255397E-7
         4160.289     1.254763E-7
         4160.707     1.254141E-7
         4161.125     1.253520E-7
         4161.542     1.252898E-7
         4161.961     1.252274E-7
         4162.379     1.251650E-7
         4162.797     1.251026E-7
         4163.218     1.250398E-7
         4163.634     1.249776E-7
         4164.054     1.249149E-7
          4164.47     1.248526E-7
         4164.891     1.247896E-7
         4165.312     1.247267E-7
         4165.728     1.246643E-7
         4166.148     1.246012E-7
         4166.565     1.245389E-7
         4166.983     1.244762E-7
         4167.402     1.244133E-7
         4167.819     1.243507E-7
          4168.24     1.242874E-7
         4168.658     1.242243E-7
          4169.08     1.241609E-7
         4169.499     1.240979E-7
